count;name;price;url
389;"Ноутбук HP 15-db0389; A6-9225, Radeon R7 M440, 4 Гб, 240 Гб, Нет";17 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_15_db0389_a6_9225_radeon_r7_m440_4_gb_240_gb_net/
390;"Ноутбук HP 3168NGW; Core i3-7020U, Intel HD Graphics 620, 4 Гб, Нет, 1 Tb";17 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_3168ngw_core_i3_7020u_intel_hd_graphics_620_4_gb_net_1_tb/
391;"Ноутбук ASUS E410MA; Celeron N4020, Intel UHD Graphics 600, 4 Гб, 64 Гб, Нет";17 500;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_asus_e410ma_celeron_n4020_intel_uhd_graphics_600_4_gb_64_gb_net/
392;"Ноутбук Acer A315-65G4; A6-9220e, Radeon R4 series, 8 Гб, 128 Гб, Нет";17 490;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_acer_a315_65g4_a6_9220e_radeon_r4_series_8_gb_128_gb_net/
393;"Ноутбук DELL; Core i3-5005U, Intel HD Graphics 5500, 4 Гб, 128 Гб, Нет";17 490;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_dell_core_i3_5005u_intel_hd_graphics_5500_4_gb_128_gb_net_1/
394;"Ноутбук Acer; Core i3-5005U, GeForce 920M, 8 Гб, Нет, 500 Гб";17 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_acer_core_i3_5005u_geforce_920m_8_gb_net_500_gb/
395;"Ноутбук DELL; Core i3-8145U, HD Graphics, 16 Гб, 256 Гб, Нет";17 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_dell_core_i3_8145u_hd_graphics_16_gb_256_gb_net/
396;"Ноутбук HP ElitBook 820 G3; Core i3-6100, Intel HD Graphics 520, 8 Гб, 120 Гб, Нет";17 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_elitbook_820_g3_core_i3_6100_intel_hd_graphics_520_8_gb_120_gb_net/
397;"Ноутбук HP ProBook 440 G4; Core i3-7100U, Intel UHD Graphics 620, 8 Гб, 120 Гб, Нет";17 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_probook_440_g4_core_i3_7100u_intel_uhd_graphics_620_8_gb_120_gb_net/
398;"Ноутбук HP; Core i5-5200U, HD Graphics, 16 Гб, 500 Гб, Нет";17 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_core_i5_5200u_hd_graphics_16_gb_500_gb_net_1/
399;"Ноутбук HP .; A10-9600P, Radeon R7 M445, 12 Гб, Нет";17 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_hp_a10_9600p_radeon_r7_m445_12_gb_net_1/
400;"Ноутбук DELL *; Core i3-5005U, Intel UHD Graphics, 4 Гб, Нет, 1 Tb";16 999;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_dell_core_i3_5005u_intel_uhd_graphics_4_gb_net_1_tb/
401;"Ноутбук DIGMA; Silver N5030, Intel UHD Graphics 605, 8 Гб, Нет, 250 Гб";16 999;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_digma_silver_n5030_intel_uhd_graphics_605_8_gb_net_250_gb/
